State,Postcode,Individuals,MedianIncome,MeanIncome
ACT,2600,5712.00,66815.00,94265.00
ACT,2601,2777.00,46880.00,66876.00
ACT,2602,19072.00,57584.00,68424.00
ACT,2603,6210.00,70655.00,116150.00
ACT,2604,7205.00,67865.00,81898.00
ACT,2605,7433.00,59671.00,78479.00
ACT,2606,5902.00,55252.00,68359.00
ACT,2607,9244.00,54755.00,69960.00
ACT,2609,597.00,46296.00,66034.00
ACT,2611,15452.00,56898.00,67428.00
ACT,2612,9514.00,59011.00,70468.00
ACT,2614,12156.00,54246.00,67137.00
ACT,2615,27050.00,52904.00,58699.00
ACT,2617,19597.00,51602.00,60470.00
ACT,2618,856.00,46466.00,74806.00
ACT,2900,1199.00,54847.00,60724.00
ACT,2902,9605.00,53461.00,61344.00
ACT,2903,5998.00,52957.00,60666.00
ACT,2904,8770.00,56291.00,65285.00
ACT,2905,18004.00,54702.00,60141.00
ACT,2906,10895.00,56421.00,61447.00
ACT,2912,3782.00,52737.00,58286.00
ACT,2913,19057.00,57317.00,64201.00
ACT,2914,12748.00,60928.00,65409.00
NSW,2000,35372.00,18013.00,45807.00
NSW,2007,4729.00,32969.00,46841.00
NSW,2008,5166.00,40518.00,53660.00
NSW,2009,9614.00,50966.00,85103.00
NSW,2010,19583.00,53346.00,76891.00
NSW,2011,14652.00,53535.00,84671.00
NSW,2015,6907.00,59694.00,72061.00
NSW,2016,7890.00,51090.00,66693.00
NSW,2017,10579.00,52231.00,61583.00
NSW,2018,8347.00,43123.00,52701.00
NSW,2019,5751.00,50362.00,60335.00
NSW,2020,8092.00,47119.00,54716.00
NSW,2021,10663.00,61349.00,111537.00
NSW,2022,9017.00,49748.00,78217.00
NSW,2023,7107.00,64526.00,155172.00
NSW,2024,7276.00,57937.00,112423.00
NSW,2025,5281.00,61606.00,127421.00
NSW,2026,23516.00,51886.00,84520.00
NSW,2027,6071.00,68004.00,200015.00
NSW,2028,3393.00,59674.00,130759.00
NSW,2029,6846.00,55824.00,102065.00
NSW,2030,9642.00,59958.00,154010.00
NSW,2031,22769.00,56129.00,83259.00
NSW,2032,8395.00,40668.00,57109.00
NSW,2033,6945.00,46979.00,69990.00
NSW,2034,14026.00,56675.00,83308.00
NSW,2035,20493.00,48136.00,66603.00
NSW,2036,15815.00,45237.00,59546.00
NSW,2037,8888.00,48913.00,73502.00
NSW,2038,5866.00,60342.00,85624.00
NSW,2039,5626.00,65743.00,92312.00
NSW,2040,12932.00,59110.00,78983.00
NSW,2041,10684.00,67300.00,117342.00
NSW,2042,12430.00,51936.00,66153.00
NSW,2043,5020.00,63579.00,76925.00
NSW,2044,4934.00,50543.00,58399.00
NSW,2045,4047.00,49585.00,91343.00
NSW,2046,16163.00,54211.00,74756.00
NSW,2047,7626.00,60843.00,90204.00
NSW,2048,4928.00,53868.00,70524.00
NSW,2049,6596.00,51885.00,67698.00
NSW,2050,5079.00,60498.00,75181.00
NSW,2060,10188.00,61424.00,94422.00
NSW,2061,4219.00,69121.00,116154.00
NSW,2062,4752.00,64474.00,96281.00
NSW,2063,4174.00,62296.00,152050.00
NSW,2064,6073.00,53206.00,78724.00
NSW,2065,20274.00,63749.00,92085.00
NSW,2066,18333.00,57476.00,95088.00
